moefSNo,state,protectedAreaName,protectedAreaType,notificationStatus,notificationDate,notificationSummary,notificationPdfLink,maps,notificationUploadDate,orderNumber,wikidataId,wikidataLabel,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl,matchConfidence
218,Madhya Pradesh,Karera Wildlife Sanctuary Madhya Pradesh,Wildlife Sanctuary,Draft,2016-05-19,"218. S.O. 1825(E) [19.05.2016] Draft Notification declaring Eco Sensitive Zone around Karera Wildlife Sanctuary, Madhya Pradesh(1.3 MB)",https://moef.gov.in/uploads/2017/06/Karera%20Wildlife%20Sanctuary%2C%20MP.pdf,[],01/06/2016,S.O. 1825(E),,,,,,,,,,,,,,,,,none
168,Madhya Pradesh,Karera Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-09-18,"168. S.O. 3063 (E) [18.09.2017] Final Notification declaring Eco Sensitive Zone around Karera Wildlife Sanctuary, (1.67 MB)Madhya Pradesh",https://moef.gov.in/uploads/2017/06/Karera%20Wildlife%20Sanctuary%2C%20MP%20Final.pdf,[],20/09/2017,S.O. 3063 (E),Q17064063,Karera Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Madhya Pradesh,25.6304,78.1346,,,,,,,,https://en.wikipedia.org/wiki/Karera_Wildlife_Sanctuary,exact
219,Madhya Pradesh,Nauradehi Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-06-03,"219. S.O. 1972(E) [03.06.2016] Draft Notification declaring Eco Sensitive Zone around Nauradehi Wildlife Sanctuary(1.6 MB), Madhya Pradesh",https://moef.gov.in/uploads/2017/06/Nauradehi%20Wildlife%20Sanctuary%2C%20Madhya%20Pradesh.pdf,[],09/06/2016,S.O. 1972(E),Q17078316,Nauradehi Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Spotted%20Deer%20%28Axis%20axis%29.jpg,IUCN category IV: Habitat/Species Management Area,Sagar district,23.17814167,79.20188611,,,1197,,,,,https://en.wikipedia.org/wiki/Nauradehi_Wildlife_Sanctuary,exact
169,Madhya Pradesh,Nauradehi Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-09-27,"169. S.O. 3133 (E) [27.09.2017] Final Notification declaring Eco Sensitive Zone around Nauradehi Wildlife Sanctuary,(4.61 MB) Madhya Pradesh",https://moef.gov.in/uploads/2017/06/Nauradehi%20Wildlife%20Sanctuary%2C%20Madhya%20Pradesh_0.pdf,[],05/10/2017,S.O. 3133 (E),Q17078316,Nauradehi Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Spotted%20Deer%20%28Axis%20axis%29.jpg,IUCN category IV: Habitat/Species Management Area,Sagar district,23.17814167,79.20188611,,,1197,,,,,https://en.wikipedia.org/wiki/Nauradehi_Wildlife_Sanctuary,exact
220,Madhya Pradesh,Ratapani and Singhori Wildlife Sanctuary,Wildlife Sanctuary,Draft,2016-12-21,"220. S.O. 4109 (E) [21.12.2016] Draft Notification declaring Eco Sensitive Zone around Ratapani and Singhori Wildlife Sanctuary(1008.42 KB), Madhya Pradesh",https://moef.gov.in/uploads/2017/06/Ratapani%20and%20Singhori%20Wildlife%20Sanctuary%2C%20Madhya%20Pradesh.pdf,[],22/12/2016,S.O. 4109 (E),,,,,,,,,,,,,,,,,none
170,Madhya Pradesh,Ratapani and Singhori WLS,Wildlife Sanctuary,Final,2017-08-11,"170. S.O. 2605 (E) [11.08.2017] Final Notification declaring Eco Sensitive Zone around Ratapani and Singhori WLS(1.98 MB), Madhya Pradesh",https://moef.gov.in/uploads/2017/06/Ratapani%20and%20Singhori%20WLS%20Final%2C%20Madhya%20Pradesh.pdf,[],21/8/2017,S.O. 2605 (E),,,,,,,,,,,,,,,,,none
221,Madhya Pradesh,Van Vihar National Park,National Park,Draft,2017-01-19,"221. S.O. 184 (E) [19.01.2017] Draft Notification declaring Eco Sensitive Zone around Van Vihar National Park, (1.63 MB)Madhya Pradesh",https://moef.gov.in/uploads/2017/06/Van%20Vihar%20National%20Park%2C%20Madhya%20Pradesh.pdf,[],25/01/2017,S.O. 184 (E),Q134721122,Van Vihar Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Rajasthan,26.6118,77.74904,,,,,,,,https://en.wikipedia.org/wiki/Van_Vihar_Wildlife_Sanctuary,exact
171,Madhya Pradesh,Van Vihar National Park,National Park,Final,2017-11-29,"171. S.O. 3777(E) [29.11.2017] Final Notification declaring Eco Sensitive Zone around Van Vihar National Park,(3.67 MB) Madhya Pradesh. S.O. No. 3142(E) [14.07.2023] Amendment in the Final Notification of Eco-sensitive Zone around Van Vihar Wildlife Sanctuary (1,156 KB), in the state of Rajasthan",https://moef.gov.in/uploads/2017/06/van%20vihar%20(2).pdf,[],13/12/2017 and 05/12/2023,S.O. 3777(E),Q134721122,Van Vihar Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Rajasthan,26.6118,77.74904,,,,,,,,https://en.wikipedia.org/wiki/Van_Vihar_Wildlife_Sanctuary,exact
222,Madhya Pradesh,Veerangana Durgawati WLS,Wildlife Sanctuary,Draft,2017-02-14,"222. S. O. 437 [14.02.2017] Draft Notification declaring Eco Sensitive Zone around Veerangana Durgawati WLS(2.04 MB), Madhya Pradesh",https://moef.gov.in/uploads/2017/06/Veerangana%20Durgawati%20Wildlife%20Sanctuary%2C%20MP_0.pdf,[],20/02/2017,S. O. 437,,,,,,,,,,,,,,,,,none
223,Madhya Pradesh,Veerangana Durgawati WLS,Wildlife Sanctuary,Draft,2021-03-12,"223. S.O. 1197(E) [12.03.2021] Draft Notification declaring Eco Sensitive Zone around Veerangana Durgawati WLS, (3.5 MB), Madhya Pradesh",https://moef.gov.in/uploads/2021/03/veerangana-durgawati.pdf,[],15/03/2021,S.O. 1197(E),,,,,,,,,,,,,,,,,none
172,Madhya Pradesh,Veerangana Durgawati WLS,Wildlife Sanctuary,Final,2021-11-08,"172. S.O.4617(E) [08.11.2021] Final Notification declaring Eco Sensitive Zone around Veerangana Durgawati WLS, (2.04 MB), Madhya Pradesh",https://moef.gov.in/uploads/2020/08/veerangana-durgawati-1.pdf,[],13/11/2021,S.O.4617(E),,,,,,,,,,,,,,,,,none
224,Madhya Pradesh,Narsinghgarh Wildlife Sanctuary,Wildlife Sanctuary,Draft,2017-04-26,"224. S.O. 1308 (E) [26.04.2017] Draft Notification declaring Eco sensitive Zone around Narsinghgarh Wildlife Sanctuary,(911.04 KB) Madhya Pradesh",https://moef.gov.in/uploads/2017/06/Narsinghgarh%20Wildlife%20Sanctuary%2C%20Madhya%20Pradesh.pdf,[],05/05/2017,S.O. 1308 (E),Q135404149,Narsinghgarh Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Madhya Pradesh,23.625,77.0667,,,,,,,,https://en.wikipedia.org/wiki/Narsinghgarh_Wildlife_Sanctuary,exact
173,Madhya Pradesh,Narsinghgarh Wildlife Sanctuary,Wildlife Sanctuary,Final,2018-07-27,"173. S.O. 3689(E) [27.07.2018] Final Notification declaring Eco Sensitive Zone around Narsinghgarh Wildlife Sanctuary,(2.92 MB) Madhya Pradesh.",https://moef.gov.in/uploads/2017/06/Narsinghgarh.pdf,[],06/08/2018,S.O. 3689(E),Q135404149,Narsinghgarh Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Madhya Pradesh,23.625,77.0667,,,,,,,,https://en.wikipedia.org/wiki/Narsinghgarh_Wildlife_Sanctuary,exact
225,Madhya Pradesh,Orchha Wildlife Sanctuary,Wildlife Sanctuary,Draft,2017-05-26,"225. S.O. 1700 (E) [26.05.2017] Draft Notification declaring Eco-sensitive Zone around Orchha Wildlife Sanctuary,(1.61 MB) Madhya Pradesh.",https://moef.gov.in/uploads/2017/06/Orchha%20Wildlife%20Sanctuary%2C%20MP%2C%20Draft%20Notification_0.pdf,[],01/06/2017,S.O. 1700 (E),Q132068974,Orchha Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Madhya Pradesh,25.35,78.64,,,,,,,,https://en.wikipedia.org/wiki/Orchha_Wildlife_Sanctuary,exact
174,Madhya Pradesh,Orchha Wildlife Sanctuary,Wildlife Sanctuary,Final,2018-01-03,"174. S.O. 35(E) [03.01.2018] Final Notification declaring Eco Sensitive Zone around Orchha Wildlife Sanctuary(2.98 MB), Madhya Pradesh.",https://moef.gov.in/uploads/2017/06/orchha.pdf,[],15/01/2018,S.O. 35(E),Q132068974,Orchha Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Madhya Pradesh,25.35,78.64,,,,,,,,https://en.wikipedia.org/wiki/Orchha_Wildlife_Sanctuary,exact
226,Madhya Pradesh,Kheoni Wildlife Sanctuary,Wildlife Sanctuary,Draft,2017-10-16,"226. S.O. 3345(E) [16.10.2017] Draft Notification declaring Eco Sensitive Zone around Kheoni Wildlife Sanctuary(2.57 MB), Madhya Pradesh",https://moef.gov.in/uploads/2017/06/kheoni%20WLS_0.pdf,[],,S.O. 3345(E),Q55615923,Kheoni Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Kheoni%20Wildlife%20Sanctuary%2C%20Dewas.png,IUCN category IV: Habitat/Species Management Area,Sehore district; Dewas district,22.8373,76.8765,,,134.778,,,Kheoni Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Kheoni_Wildlife_Sanctuary,exact
175,Madhya Pradesh,Kheoni Wildlife Sanctuary,Wildlife Sanctuary,Final,2018-05-14,"175. S.O. 1902(E) [14.05.2018] Final Notification declaring Eco Sensitive Zone around Kheoni Wildlife Sanctuary(2.6 MB), Madhya Pradesh",https://moef.gov.in/uploads/2018/05/kheoni.pdf,[],16/05/2018,S.O. 1902(E),Q55615923,Kheoni Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Kheoni%20Wildlife%20Sanctuary%2C%20Dewas.png,IUCN category IV: Habitat/Species Management Area,Sehore district; Dewas district,22.8373,76.8765,,,134.778,,,Kheoni Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Kheoni_Wildlife_Sanctuary,exact
227,Madhya Pradesh,Kunopalpur Wildlife Sanctuary,Wildlife Sanctuary,Draft,2017-11-10,"227. S.O. 3576(E) [10.11.2017] Draft Notification declaring Eco Sensitive Zone around Kunopalpur Wildlife Sanctuary(3 MB), Madhya Pradesh.",https://moef.gov.in/uploads/2017/06/kulopalpur.pdf,[],15/11/2017,S.O. 3576(E),,,,,,,,,,,,,,,,,none
227,Madhya Pradesh,Kuno National Park,National Park,Draft,2022-05-04,"227. S.O. 2078(E) [04.05.2022] Re-Draft Notification declaring Eco Sensitive Zone aroundKuno National Park, (3 MB), in the state of Madhya Pradesh.Re-Notification New",https://moef.gov.in/uploads/2021/08/Published-Draft-Notification-S-O-2078.pdf,[],04/05/2022,S.O. 2078(E),Q1143016,Kuno Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/A%20well-fed%20bull%20in%20Kuno%20WS%20AJTJ%20P1070807.jpg,IUCN category IV: Habitat/Species Management Area,Madhya Pradesh,25.66666667,77.25,,,344.68,http://sheopur.nic.in/kuno.htm,,Kuno National Park,,https://en.wikipedia.org/wiki/Kuno_National_Park,exact
228,Madhya Pradesh,Pench NP Pench Mougali Sanctuary,National Park,Draft,2018-05-22,"228. .S.O. 2030(E) [22.05.2018] Draft Notification declaring Eco Sensitive Zone around Pench NP & Pench Mougali Sanctuary(3.06 MB), Madhya Pradesh.",https://moef.gov.in/uploads/2018/05/pench.pdf,[],24/05/2018,S.O. 2030(E),,,,,,,,,,,,,,,,,none
176,Madhya Pradesh,National Park Pench Mougali Sanctuary,Tiger Reserve,Final,2019-11-06,"176. S.O. 4009(E) [06.11.2019] Final Notification declaring Eco Sensitive Zone around Pench National Park & Pench Mougali Sanctuary(2.06 MB) (Pench Tiger Reserve), Madhya Pradesh.",https://moef.gov.in/uploads/2019/10/pench.pdf,[],13/11/2019,S.O. 4009(E),,,,,,,,,,,,,,,,,none
229,Madhya Pradesh,Kanha National Park Phen Sanctuary,National Park,Draft,2018-11-05,"229. .S.O. 5647(E) [05.11.2018] Draft Notification declaring Eco Sensitive Zone around Kanha National Park & Phen Sanctuary,(1.96 MB) Madhya Pradesh.",https://moef.gov.in/uploads/2018/11/kanha.pdf,[],13/11/2018,S.O. 5647(E),,,,,,,,,,,,,,,,,none
177,Madhya Pradesh,Kanha National Park Phen Sanctuary,National Park,Final,2021-03-12,177. S.O.1198(E) [12.03.2021] Final Notification declaring Eco Sensitive Zone around Kanha NP and Phen Sanctuary(1.96 MB) Madhya Pradesh.,https://moef.gov.in/uploads/2021/03/kanha.pdf,[],15/03/2021,S.O.1198(E),,,,,,,,,,,,,,,,,none
229,Madhya Pradesh,Kanha National Park and Phen Sanctuary,National Park,Draft,2020-07-24,"229. S.O. 2438(E) [24.07.2020] Draft Notification declaring Eco Sensitive Zone around Kanha National Park and Phen Sanctuary(3.96 MB),Madhya Pradesh Re-Notification New.",https://moef.gov.in/uploads/2019/10/kanha.pdf,[],28/07/2020,S.O. 2438(E),,,,,,,,,,,,,,,,,none
178,Madhya Pradesh,Kanha NP & Phen Sanctuary,National Park,Final,2021-09-09,"178. S.O. 3653(E) [09.09.2021] Amendment in Notification declaring Eco Sensitive Zone around Kanha NP & Phen Sanctuary, in the State of Madhya Pradesh.(1.96 MB) Madhya Pradesh.",https://moef.gov.in/uploads/2020/08/document64.pdf,[],10/09/2021,S.O. 3653(E),,,,,,,,,,,,,,,,,none
230,Madhya Pradesh,National Chambal Santuary,National Park,Draft,2019-06-11,"230. .S.O. 1944(E) [11.06.2019] Draft Notification declaring Eco Sensitive Zone around National Chambal Santuary(1.22 MB), Madhya Pradesh",https://moef.gov.in/uploads/2019/06/national-chambal.pdf,[],18/06/2019,S.O. 1944(E),Q6971439,National Chambal Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Chambal%20river%20near%20Dhaulpur%2C%20India.jpg,IUCN category IV: Habitat/Species Management Area,Morena district,26.768333333,78.644444444,Morena,,,,,,,https://en.wikipedia.org/wiki/National_Chambal_Sanctuary,fuzzy
179,Madhya Pradesh,Chambal Sanctuary,National Park,Final,2020-02-21,"179. S.O. 796(E) [21.02.2020] Final Notification declaring Eco Sensitive Zone around National Chambal Sanctuary(1.92 MB), Madhya Pradesh.",https://moef.gov.in/uploads/2019/10/national-chambal.pdf,[],02/03/2020,S.O. 796(E),,,,,,,,,,,,,,,,,none
231,Madhya Pradesh,Kharmor (Sardarpur) Santuary,Wildlife Sanctuary,Draft,2019-10-10,"231. S.O. 3648(E) [10.10.2019] Draft Notification declaring Eco Sensitive Zone around Kharmor (Sardarpur) Santuary(1.36 MB), Madhya Pradesh.",https://moef.gov.in/uploads/2018/12/kharmor.pdf,[],16/10/2019,S.O. 3648(E),,,,,,,,,,,,,,,,,none
180,Madhya Pradesh,Kharmor (Sardarpur) Santuary,Wildlife Sanctuary,Final,2020-08-28,"180. S.O. 2935(E) [ 28.08.2020] Final Notification declaring Eco Sensitive Zone around Kharmor (Sardarpur) Sanctuary(5.96 MB), Madhya Pradesh",,[],31/08/2020,S.O. 2935(E),,,,,,,,,,,,,,,,,none
232,Madhya Pradesh,Sailana Wildlife Sanctuary,Wildlife Sanctuary,Draft,2020-03-20,"232. S.O. 1193(E) [20.03.2020] Draft Notification declaring Eco Sensitive Zone around Ralamandal Wildlife Sanctuary (1.55 MB), Madhya Pradesh",https://moef.gov.in/uploads/2020/08/ralamandal.pdf,[],13/11/2021,S.O. 1193(E),,,,,,,,,,,,,,,,,none
181,Madhya Pradesh,Ralamandal Wildlife Sanctuary,Wildlife Sanctuary,Final,2023-11-02,"181. S.O. 4799(E) [02.11.2023] Final Notification declaring Eco Sensitive Zone around Ralamandal Wildlife Sanctuary(2.12 MB), Madhya Pradesh",https://moef.gov.in/uploads/2023/11/SO4799(E)-ESZ-Notification-ralamandal.pdf,[],02/11/2023,S.O. 4799(E),Q65041648,Ralamandal Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Madhya Pradesh,22.6503,75.974,,,,,,,,https://en.wikipedia.org/wiki/Ralamandal_Wildlife_Sanctuary,exact
233,Madhya Pradesh,Sailana Wildlife Sanctuary,Wildlife Sanctuary,Draft,2021-11-08,"233. S.O. 4616(E) [08.11.2021] Draft Notification declaring Eco Sensitive Zone around Sailana Wildlife Sanctuary (1.55 MB), Madhya Pradesh",,[],14/04/2020,S.O. 4616(E),,,,,,,,,,,,,,,,,none
233,Madhya Pradesh,Panna National Park & Gangau Sanctuary,National Park,Draft,2023-09-13,"233. S.O. 4036(E) [13.09.2023] Re-Draft Notification declaring Eco Sensitive Zone around Panna National Park & Gangau Sanctuary, (1,824 KB) in the state of Madhya PradeshRe-notification New",https://moef.gov.in/uploads/2023/11/ESZ-ReDraft-Panna-National-Park-Gangau-Sanctuary-Madhya-Pradesh.pdf,[],13/09/2023,S.O. 4036(E),,,,,,,,,,,,,,,,,none
234,Maharashtra,Nagazira Wildlife Sanctuary,National Park,Draft,2015-02-20,"234. S.O. 590 [20.02.2015] Draft ESZ Notification on Nagazira Wildlife Sanctuary(2.61 MB), Navegaon WLS and Navegaon National Park, Maharashtra & Map(327.76 KB)",https://moef.gov.in/uploads/2019/10/S.O.-590-20.02.2015-Draft-ESZ-Notification-on-Nagazira-Wildlife-Sanctuary-Navegaon-WLS-and-Navegaon-National-Park-Maharashtra.pdf,[],11/04/2015,S.O. 590,,,,,,,,,,,,,,,,,none
182,Maharashtra,"Nagzira WildlifeSanctuary, New Nagzira Wildlife Sanctuary, Koka Wildlife Sanctuary, Navegaon Wildlife Sanctuary and Navegaon National Park",National Park,Final,2023-09-20,"182. S.O. 4132(E) [20.09.2023] Final Notification declaring Eco sensitive Zone around Nagzira WildlifeSanctuary, New Nagzira Wildlife Sanctuary, Koka Wildlife Sanctuary, Navegaon Wildlife Sanctuary and Navegaon National Park(2.67 MB), Maharashtra",https://moef.gov.in/uploads/2023/11/SO4132(E)-Final-notification-nagzira.pdf,[],25/11/2023,S.O. 4132(E),,,,,,,,,,,,,,,,,none
235,Maharashtra,Map,Wildlife Sanctuary,Draft,2015-06-01,"235. .S.O. 1448 [01.06.2015] Draft ESZ Notification on Painganga Wildlife Sanctuary(12.95 MB), Maharashtra & Map(205.72 KB)",https://moef.gov.in/uploads/2017/06/S.O.%201448%20%5B01.06.2015%5D%20Draft%20ESZ%20Notification%20on%20Painganga%20Wildlife%20Sanctuary%2C%20Maharashtra.pdf,[],11/09/2015,S.O. 1448,,,,,,,,,,,,,,,,,none
183,Maharashtra,Painganga Wildlife Sanctuary,Wildlife Sanctuary,Final,2016-11-30,"183. S.O. 3595(E) [30.11.2016] Final Notification declaring Eco Sensitive Zone around Painganga Wildlife Sanctuary(1.95 MB), Maharashtra. S .O. No. 3456(E) [13.08.2024] Amendment in the Final Notification of Eco-sensitive Zone around Painganga Wildlife Sanctuary(1.95 MB), Maharashtra.",https://moef.gov.in/uploads/2017/06/Painganga%20Wildlife%20Sanctuary%2C%20Maharashtra%20Final05-12-2016.pdf,[],23/08/2024,S.O. 3595(E),Q113396038,Painganga Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Painganga-Wildlife-Sanctuary.jpg,IUCN category IV: Habitat/Species Management Area,Maharashtra,19.586111111,78.041666666,,,325,,,Painganga Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Painganga_Wildlife_Sanctuary,exact
236,Maharashtra,Gautala Wildlife Sanctuary,Wildlife Sanctuary,Draft,2015-06-12,"236. .S.O. 1558 [12.06.2015] Draft ESZ Notification on Gautala Wildlife Sanctuary(6.9 MB), Maharashtra & Map(327.07 KB)",https://moef.gov.in/uploads/2019/10/S.O.-1558-12.06.2015-Draft-ESZ-Notification-on-Gautala-Wildlife-Sanctuary-Maharashtra-1.pdf,[],21/09/2015,S.O. 1558,,,,,,,,,,,,,,,,,none
184,Maharashtra,Gautala Autramghat Wildlife Sanctuary,Wildlife Sanctuary,Final,2016-12-09,"184. S.O. 3996 [09.12.2016] Final Notification declaring Eco Sensitive Zone around Gautala Autramghat Wildlife Sanctuary(1.56 MB), Maharashtra. S .O. No. 3819(E) [05.09.2024] Amendment in the Final Notification of Eco-sensitive Zone around Gautala Autramghat Wildlife Sanctuary (1.74 MB), Maharashtra.",https://moef.gov.in/uploads/2017/06/Gautala%20Autramghat%20Wildlife%20Sanctuary%2C%20Maharashtra.pdf,[],13/12/2016,S.O. 3996,Q5527862,Gautala Autramghat Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Maharashtra,20.3325,75.140833333,,,,,,,,https://en.wikipedia.org/wiki/Gautala_Autramghat_Sanctuary,exact
237,Maharashtra,Karnala Bird Sanctuary,Bird Sanctuary,Draft,2015-06-17,"237. S.O. 1658 (E) [17.06.2015] Draft ESZ Notification on Karnala Bird Sanctuary(11.66 MB), Maharashtra & Map(305.59 KB)",https://moef.gov.in/uploads/2017/06/S.O.%201658%20(E)%20%5B17.06.2015%5D%20Draft%20ESZ%20Notification%20on%20Karnala%20Bird%20Sanctuary%2C%20Maharashtra.pdf,[],19/08/2015,S.O. 1658 (E),Q6372818,Karnala Bird Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Karnala%20006.jpg,IUCN category IV: Habitat/Species Management Area,Raigad district,18.90861111,73.1025,Matheran,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Karnala%20Bird%20Sanctuary%20entrance%20%28318339013%29%20%28cropped%29.jpg,Karnala Bird Sanctuary,,https://en.wikipedia.org/wiki/Karnala_Bird_Sanctuary,exact
185,Maharashtra,KARNALA Wildlife Sanctuary,Wildlife Sanctuary,Final,2016-01-22,185. S.O 230(E)[22.01.2016] Notification declaring Eco-sensitive Zone around the KARNALA Wildlife Sanctuary (771.37 KB) in the state of Maharashtra S.O. No. 5471(E) [18.12.2024] Amendment in the Final Notification of Eco-sensitive Zone around the KARNALA Wildlife Sanctuary (1.6 MB) in the state of Maharashtra,https://moef.gov.in/uploads/2017/06/SO%20230(E)%5B22.01.2016%5D%20Notification%20declaring%20Eco-sensitive%20Zone%20around%20the%20KARNALA%20Wildlife%20Sanctuary%20%20in%20the%20state%20of%20Maharashtra.pdf,[],24/12/2024,S.O 230(E),Q6372818,Karnala Bird Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Karnala%20006.jpg,IUCN category IV: Habitat/Species Management Area,Raigad district,18.90861111,73.1025,Matheran,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Karnala%20Bird%20Sanctuary%20entrance%20%28318339013%29%20%28cropped%29.jpg,Karnala Bird Sanctuary,,https://en.wikipedia.org/wiki/Karnala_Bird_Sanctuary,exact
238,Maharashtra,Umrer Karhandala Wildlife Sanctuary,Wildlife Sanctuary,Draft,2015-09-17,"238. .S.O. 2544 [17.09.2015] Draft Notification on Umrer Karhandala Wildlife Sanctuary(9.83 MB), Maharashtra & Map(153.91 KB)",https://moef.gov.in/uploads/2017/06/S.O.%202544%20%5B17.09.2015%5D%20Draft%20Notification%20on%20Umrer%20Karhandala%20Wildlife%20Sanctuary%2C%20Maharashtra.pdf,[],06/10/2015,S.O. 2544,,,,,,,,,,,,,,,,,none
186,Maharashtra,Umred Karhandla Wildlife,Wildlife Sanctuary,Final,2017-03-16,"186. S.O. 837 (E) [16.03.2017] Final Notification declaring Eco Sensitive Zone around Umred Karhandla Wildlife(1.57 MB) Sanctuary, Maharashtra.",https://moef.gov.in/uploads/2019/08/Umred-Karhandla-Wildlife-Sanctuary-Maharashtra.pdf,[],21/03/2017,S.O. 837 (E),Q16902313,Umred Karhandla Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Nagpur district,20.83555556,79.51111111,Nagpur,,189.3,,,Umred Karhandla Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Umred_Pauni_Karhandla_Wildlife_Sanctuary,fuzzy
239,Maharashtra,Gangewadi New Great Indian Bustard Wildlife Sanctuary,Wildlife Sanctuary,Draft,2015-11-05,"239. .S.O. 3014 [05.11.2015] Draft ESZ Notifictaion on Gangewadi New Great Indian Bustard Wildlife Sanctuary(2.94 MB), Maharashtra & Map(142.78 KB)",https://moef.gov.in/uploads/2017/06/S.O.%203014%20%5B05.11.2015%5D%20Draft%20ESZ%20Notifictaion%20on%20Gangewadi%20New%20Great%20Indian%20Bustard%20Wildlife%20Sanctuary%2C%20Maharashtra.pdf,[],,S.O. 3014,,,,,,,,,,,,,,,,,none
187,Maharashtra,Gangewadi New Great Indian Bustard Sanctuary,Wildlife Sanctuary,Final,2017-05-31,"187. S.O. 1752 (E) [31.05.2017] Final Notification declaring Eco Sensitive Zone around Gangewadi New Great Indian Bustard Sanctuary(5.29 MB), Maharashtra S .O. No. 4331(E) [03.10.2024] Final Notification declaring Eco Sensitive Zone around Gangewadi New Great Indian Bustard Sanctuary(1.29 MB), Maharashtra",https://moef.gov.in/uploads/2017/06/Gangewadi%20New%20Great%20Indian%20Bustard%20WLS%2C%20Maharashtra(1).pdf,[],08/10/2024,S.O. 1752 (E),,,,,,,,,,,,,,,,,none
240,Maharashtra,Phansad Wildlife Sanctuary,Wildlife Sanctuary,Draft,2015-11-30,240. .SO 3222(E)[30.11.2015] Draft notification declaring Eco-sensitive Zone around the Phansad Wildlife Sanctuary (1.59 MB)in the state of Maharashtra,https://moef.gov.in/uploads/2017/06/SO%203222(E)%5B30.11.2015%5D%20Draft%20notification%20declaring%20Eco-sensitive%20Zone%20around%20the%20Phansad%20Wildlife%20Sanctuary%20%20in%20the%20state%20of%20Maharashtra.pdf,[],09/12/2015,SO 3222(E),Q7180496,Phansad Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Maharashtra,18.344111111,73.059083333,,,,,,,,https://en.wikipedia.org/wiki/Phansad_Wildlife_Sanctuary,exact
188,Maharashtra,Phansad Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-05-17,"188. S.O. 1603 (E) [17.05.2017] Final Notification Declaring Eco Sensitive Zone around Phansad Wildlife Sanctuary(822.05 KB), Maharashtra",https://moef.gov.in/uploads/2017/06/Phansad%20Wildlife%20Sanctuary%2C%20Maharashtra_0.pdf,[],23/05/2017,S.O. 1603 (E),Q7180496,Phansad Wildlife Sanctuary,,,IUCN category IV: Habitat/Species Management Area,Maharashtra,18.344111111,73.059083333,,,,,,,,https://en.wikipedia.org/wiki/Phansad_Wildlife_Sanctuary,exact
241,Maharashtra,Bhamragarh Wildlife Sanctuary,Wildlife Sanctuary,Draft,2015-11-23,241. SO 3224(E)[23.11.2015] Draft notification declaring Eco-sensitive Zone around the Bhamragarh Wildlife Sanctuary (1.74 MB)in the state of Maharashtra,https://moef.gov.in/uploads/2017/06/SO%203224(E)%5B23.11.2015%5D%20Draft%20notification%20declaring%20Eco-sensitive%20Zone%20around%20the%20Bhamragarh%20Wildlife%20Sanctuary%20in%20the%20state%20of%20Maharashtra.pdf,[],09/12/2015,SO 3224(E),,,,,,,,,,,,,,,,,none
189,Maharashtra,Bhamragarh Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-04-13,"189. S.O. 1175(E) [13.04.2017] Final Notification Declaring Eco Sensitive Zone around Bhamragarh Wildlife Sanctuary(1.48 MB), Maharashtra",https://moef.gov.in/uploads/2017/06/Bhamragarh%20Wildlife%20Sanctuary%2C%20Maharashtra.pdf,[],01/05/2017,S.O. 1175(E),,,,,,,,,,,,,,,,,none
